case_id,activity,event_index,station,timestamp_raw,i1_pos_switch,i2_pos_switch,i5_light_barrier,m1_speed,o7_valve,o8_compressor,i3_pos_switch,i4_light_barrier,m2_speed,m3_speed,i7_light_barrier,o7_compressor,o8_valve,i1_light_barrier,i3_light_barrier,i6_light_barrier,i8_light_barrier,o5_valve,o6_valve,i2_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,i4_pos_switch,timestamp
case_Sort_001,Sort,3,SM_1,2023-03-20T10:12:10Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:10+00:00
case_Sort_001,Sort,4,SM_1,2023-03-20T10:12:12Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:12+00:00
case_Sort_001,Sort,5,SM_1,2023-03-20T10:12:15Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:15+00:00
case_Sort_001,Sort,6,SM_1,2023-03-20T10:12:17Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:17+00:00
case_Sort_001,Sort,7,SM_1,2023-03-20T10:12:19Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:19+00:00
case_Sort_001,Sort,8,SM_1,2023-03-20T10:12:21Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:21+00:00
case_Sort_001,Sort,9,SM_1,2023-03-20T10:12:23Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:23+00:00
case_Sort_001,Sort,10,SM_1,2023-03-20T10:12:25Z,,,,-512.0,0.0,0.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:25+00:00
case_Sort_001,Sort,11,SM_1,2023-03-20T10:12:27Z,,,,0.0,0.0,512.0,,,,,1.0,,,1.0,1.0,1.0,1.0,0.0,512.0,,,,,,,,2023-03-20 10:12:27+00:00
case_Sort_001,Sort,12,SM_1,2023-03-20T10:12:29Z,,,,0.0,0.0,0.0,,,,,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,2023-03-20 10:12:29+00:00
case_Storage_001,Storage,1,HBW_1,2023-03-20T10:30:28Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,1.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:28+00:00
case_Storage_001,Storage,2,HBW_1,2023-03-20T10:30:30Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:30+00:00
case_Storage_001,Storage,3,HBW_1,2023-03-20T10:30:32Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:32+00:00
case_Storage_001,Storage,4,HBW_1,2023-03-20T10:30:34Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:34+00:00
case_Storage_001,Storage,5,HBW_1,2023-03-20T10:30:36Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:36+00:00
case_Storage_001,Storage,6,HBW_1,2023-03-20T10:30:38Z,,,,0.0,,,,1.0,-512.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,2023-03-20 10:30:38+00:00
case_Storage_001,Storage,7,HBW_1,2023-03-20T10:30:40Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,-512.0,,2023-03-20 10:30:40+00:00
case_Storage_001,Storage,8,HBW_1,2023-03-20T10:30:42Z,,,,0.0,,,,1.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:30:42+00:00
case_Storage_001,Storage,9,HBW_1,2023-03-20T10:30:45Z,,,,0.0,,,,1.0,0.0,-512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,2023-03-20 10:30:45+00:00
case_Storage_001,Storage,10,HBW_1,2023-03-20T10:30:47Z,,,,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,512.0,,2023-03-20 10:30:47+00:00
case_Storage_001,Storage,11,HBW_1,2023-03-20T10:30:49Z,,,,0.0,,,,1.0,0.0,512.0,,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,2023-03-20 10:30:49+00:00
